step,cost
105.0,0.0
154.0,0.0
457.0,20.0
519.0,0.0
627.0,0.0
1627.0,0.0
1657.0,0.0
2657.0,0.0
2717.0,0.0
3717.0,1.0
3943.0,9.0
4943.0,0.0
5291.0,5.0
5962.0,0.0
6962.0,3.0
7498.0,2.0
8498.0,0.0
9498.0,0.0
10498.0,0.0
10741.0,0.0
11605.0,0.0
12158.0,0.0
13158.0,0.0
14158.0,0.0
15158.0,0.0
16158.0,0.0
17158.0,0.0
18158.0,0.0
19158.0,0.0
20158.0,0.0
21158.0,0.0
22158.0,0.0
23158.0,0.0
24158.0,0.0
25158.0,0.0
26158.0,0.0
27158.0,0.0
28158.0,0.0
29158.0,0.0
30158.0,0.0
31158.0,0.0
32158.0,0.0
33158.0,0.0
34158.0,0.0
35158.0,0.0
36158.0,0.0
37158.0,0.0
38158.0,0.0
39158.0,0.0
40158.0,0.0
41158.0,0.0
42158.0,0.0
43158.0,0.0
44158.0,0.0
45158.0,0.0
46158.0,0.0
47158.0,0.0
48158.0,0.0
49158.0,0.0
50158.0,0.0
51158.0,0.0
52158.0,0.0
53158.0,0.0
54158.0,0.0
55158.0,0.0
56158.0,0.0
57158.0,0.0
58158.0,0.0
59158.0,0.0
60158.0,0.0
61158.0,0.0
62158.0,0.0
63158.0,0.0
64158.0,0.0
65158.0,0.0
66158.0,0.0
67158.0,0.0
68158.0,0.0
69158.0,0.0
70158.0,0.0
71158.0,0.0
72158.0,0.0
73158.0,0.0
74158.0,0.0
75158.0,0.0
76158.0,0.0
77158.0,0.0
78158.0,0.0
79158.0,0.0
80158.0,0.0
81158.0,0.0
82158.0,0.0
83158.0,0.0
84158.0,0.0
85158.0,0.0
86158.0,0.0
87158.0,0.0
88158.0,0.0
89158.0,0.0
90158.0,0.0
91158.0,0.0
92158.0,0.0
93158.0,0.0
94158.0,0.0
95158.0,0.0
96158.0,0.0
97158.0,0.0
98158.0,0.0
99158.0,0.0
100158.0,0.0
101158.0,0.0
102158.0,0.0
103158.0,0.0
104158.0,0.0
105158.0,0.0
106158.0,0.0
107158.0,0.0
108158.0,0.0
109158.0,0.0
110158.0,0.0
111158.0,0.0
112158.0,0.0
113158.0,0.0
114158.0,0.0
115158.0,0.0
116158.0,0.0
117158.0,0.0
118158.0,0.0
119158.0,0.0
120158.0,0.0
121158.0,0.0
122158.0,0.0
123158.0,0.0
124158.0,0.0
125158.0,0.0
126158.0,0.0
127158.0,0.0
128158.0,0.0
129158.0,0.0
130158.0,0.0
131158.0,0.0
132158.0,0.0
133158.0,0.0
134158.0,0.0
135158.0,0.0
136158.0,0.0
137158.0,0.0
138158.0,0.0
139158.0,0.0
140158.0,0.0
141158.0,0.0
142158.0,0.0
143158.0,0.0
144158.0,0.0
145158.0,0.0
146158.0,0.0
147158.0,0.0
148158.0,0.0
149158.0,0.0
150158.0,0.0
151158.0,0.0
152158.0,0.0
153158.0,0.0
154158.0,0.0
155158.0,0.0
156158.0,0.0
157158.0,0.0
158158.0,0.0
159158.0,0.0
160158.0,0.0
161158.0,0.0
162158.0,0.0
163158.0,0.0
164158.0,0.0
165158.0,0.0
166158.0,0.0
167158.0,0.0
168158.0,0.0
169158.0,0.0
170158.0,0.0
171158.0,0.0
172158.0,0.0
173158.0,0.0
174158.0,0.0
175158.0,0.0
176158.0,0.0
177158.0,0.0
178158.0,0.0
179158.0,0.0
180158.0,0.0
181158.0,0.0
182158.0,0.0
183158.0,0.0
184158.0,0.0
185158.0,0.0
186158.0,0.0
187158.0,0.0
188158.0,0.0
189158.0,0.0
190158.0,0.0
191158.0,0.0
192158.0,0.0
193158.0,0.0
194158.0,0.0
195158.0,0.0
196158.0,0.0
197158.0,0.0
198158.0,0.0
199158.0,0.0
200158.0,0.0
201158.0,0.0
202158.0,0.0
203158.0,0.0
204158.0,0.0
205158.0,0.0
206158.0,0.0
207158.0,0.0
208158.0,0.0
209158.0,0.0
210158.0,0.0
211158.0,0.0
212158.0,0.0
213158.0,0.0
214158.0,0.0
215158.0,0.0
216158.0,0.0
217158.0,0.0
218158.0,0.0
219158.0,0.0
220158.0,0.0
221158.0,0.0
222158.0,0.0
223158.0,0.0
224158.0,0.0
225158.0,0.0
226158.0,0.0
227158.0,0.0
228158.0,0.0
229158.0,0.0
230158.0,0.0
231158.0,0.0
232158.0,0.0
233158.0,0.0
234158.0,0.0
235158.0,0.0
236158.0,0.0
237158.0,0.0
238158.0,0.0
239158.0,0.0
240158.0,0.0
241158.0,0.0
242158.0,0.0
243158.0,0.0
244158.0,0.0
245158.0,0.0
246158.0,0.0
247158.0,0.0
248158.0,0.0
249158.0,0.0
250158.0,0.0
251158.0,0.0
252158.0,0.0
253158.0,0.0
254158.0,0.0
255158.0,0.0
256158.0,0.0
257158.0,0.0
258158.0,0.0
259158.0,0.0
260158.0,0.0
261158.0,0.0
262158.0,0.0
263158.0,0.0
264158.0,0.0
265158.0,0.0
266158.0,0.0
267158.0,0.0
268158.0,0.0
269158.0,0.0
270158.0,0.0
271158.0,0.0
272158.0,0.0
273158.0,0.0
274158.0,0.0
275158.0,0.0
276158.0,0.0
277158.0,0.0
278158.0,0.0
279158.0,0.0
280158.0,0.0
281158.0,0.0
282158.0,0.0
283158.0,0.0
284158.0,0.0
285158.0,0.0
286158.0,0.0
287158.0,0.0
288158.0,0.0
289158.0,0.0
290158.0,0.0
291158.0,0.0
292158.0,0.0
293158.0,0.0
294158.0,0.0
295158.0,0.0
296158.0,0.0
297158.0,0.0
298158.0,0.0
299158.0,0.0
300158.0,0.0
301158.0,0.0
302158.0,0.0
303158.0,0.0
304158.0,0.0
305158.0,0.0
306158.0,0.0
307158.0,0.0
308158.0,0.0
309158.0,0.0
310158.0,0.0
311158.0,0.0
312158.0,0.0
313158.0,0.0
314158.0,0.0
315158.0,0.0
316158.0,0.0
317158.0,0.0
318158.0,0.0
319158.0,0.0
320158.0,0.0
321158.0,0.0
322158.0,0.0
323158.0,0.0
324158.0,0.0
325158.0,0.0
326158.0,0.0
327158.0,0.0
328158.0,0.0
329158.0,0.0
330158.0,0.0
331158.0,0.0
332158.0,0.0
333158.0,0.0
334158.0,0.0
335158.0,0.0
336158.0,0.0
337158.0,0.0
338158.0,0.0
339158.0,0.0
340158.0,0.0
341158.0,0.0
342158.0,0.0
343158.0,0.0
344158.0,0.0
345158.0,0.0
346158.0,0.0
347158.0,0.0
348158.0,0.0
349158.0,0.0
350158.0,0.0
351158.0,0.0
352158.0,0.0
353158.0,0.0
354158.0,0.0
355158.0,0.0
356158.0,0.0
357158.0,0.0
358158.0,0.0
359158.0,0.0
360158.0,0.0
361158.0,0.0
362158.0,0.0
363158.0,0.0
364158.0,0.0
365158.0,0.0
366158.0,0.0
367158.0,0.0
368158.0,0.0
369158.0,0.0
370158.0,0.0
371158.0,0.0
372158.0,0.0
373158.0,0.0
374158.0,0.0
375158.0,0.0
376158.0,0.0
377158.0,0.0
378158.0,0.0
379158.0,0.0
380158.0,0.0
381158.0,0.0
382158.0,0.0
383158.0,0.0
384158.0,0.0
385158.0,0.0
386158.0,0.0
387158.0,0.0
388158.0,0.0
389158.0,0.0
390158.0,0.0
391158.0,0.0
392158.0,0.0
393158.0,0.0
394158.0,0.0
395158.0,0.0
396158.0,0.0
397158.0,0.0
398158.0,0.0
399158.0,0.0
400158.0,0.0
401158.0,0.0
402158.0,0.0
403158.0,0.0
404158.0,0.0
405158.0,0.0
406158.0,0.0
407158.0,0.0
408158.0,0.0
409158.0,0.0
410158.0,0.0
411158.0,0.0
412158.0,0.0
413158.0,0.0
414158.0,0.0
415158.0,0.0
416158.0,0.0
417158.0,0.0
418158.0,0.0
419158.0,0.0
420158.0,0.0
421158.0,0.0
422158.0,0.0
423158.0,0.0
424158.0,0.0
425158.0,0.0
426158.0,0.0
427158.0,0.0
428158.0,0.0
429158.0,0.0
430158.0,0.0
431158.0,0.0
432158.0,0.0
433158.0,0.0
434158.0,0.0
435158.0,0.0
436158.0,0.0
437158.0,0.0
438158.0,0.0
439158.0,0.0
440158.0,0.0
441158.0,0.0
442158.0,0.0
443158.0,0.0
